Spin_Speed_rpm,Spin_Time_s,Viscosity_cP,Surface_Tension_mN_m,Concentration_wt_pct,Volume_Deposited_uL,Annealing_Temp_C,Annealing_Time_min,Number_of_Layers,Film_Thickness_nm
2596.9,69.5,8.88,23.85,4.83,38.7,458.7,33.7,3,17.05
2851.8,55.6,21.15,36.03,8.0,10.4,289.8,57.1,9,203.06
3937.7,76.1,12.72,20.21,5.59,11.8,592.4,113.2,6,24.06
4096.6,68.1,32.43,32.32,14.2,31.6,441.9,36.2,1,25.63
2714.7,87.8,26.27,46.78,8.11,20.5,422.6,111.4,6,98.74
3198.2,86.7,19.87,31.61,7.61,20.8,181.4,119.4,9,266.2
4690.6,51.8,14.86,53.62,5.87,64.2,275.7,15.7,2,21.8
1038.8,54.6,25.14,39.1,9.95,64.5,351.1,68.5,6,252.75
1027.0,78.5,23.67,46.77,8.28,14.0,433.8,28.9,3,81.98
894.7,79.6,6.35,55.35,2.81,63.5,380.7,78.4,1,5.8
3460.4,51.5,30.7,47.31,13.17,23.1,493.4,118.8,5,99.88
2383.7,53.0,17.83,55.89,6.03,44.0,268.2,108.7,8,155.64
3984.4,89.4,13.68,52.32,7.06,99.1,466.0,111.7,7,51.44
3520.5,84.7,13.89,42.68,3.88,57.0,517.5,33.5,2,8.61
2001.4,33.5,17.3,31.89,8.75,13.1,494.3,69.7,2,29.26
4542.6,64.1,26.17,31.93,10.83,41.3,496.9,35.8,6,84.76
3931.4,109.3,27.88,55.01,13.34,70.4,549.8,108.9,4,68.42
1717.4,23.6,2.79,22.16,1.72,30.2,187.9,31.0,4,11.78
2138.9,105.5,39.53,57.66,14.63,96.8,463.7,26.9,5,191.27
1915.0,36.3,30.1,33.08,10.85,48.3,585.9,11.3,8,190.31
1209.3,70.7,16.91,49.55,4.98,11.9,408.1,30.0,6,82.85
1165.0,62.4,6.54,33.2,3.86,58.7,247.8,30.9,9,95.49
4712.6,21.0,10.68,58.13,5.15,70.9,599.4,18.5,2,7.91
2470.6,111.5,33.52,21.46,13.26,51.0,228.6,105.5,5,321.26
2224.9,65.5,15.83,34.13,5.08,93.5,301.0,95.8,6,90.61
3783.6,115.4,16.8,54.7,7.48,91.2,227.4,38.0,8,156.8
2988.5,48.7,25.29,30.96,10.88,22.5,359.0,96.2,6,150.48
4712.6,106.6,28.98,31.02,13.21,17.2,338.5,56.4,10,282.28
4011.4,112.2,30.48,55.95,10.22,38.1,371.1,95.3,9,206.17
2657.2,75.7,27.13,53.22,11.54,64.7,567.6,45.5,7,118.62
2193.6,40.3,9.97,24.23,3.43,64.1,365.2,72.1,4,23.96
4939.8,88.5,32.8,43.21,13.28,34.4,381.6,52.0,4,101.26
3729.9,74.9,16.5,28.94,4.86,95.6,549.0,30.6,6,32.53
4780.4,114.5,5.58,28.61,2.8,37.7,518.0,74.4,5,8.12
1033.2,63.9,39.24,44.62,14.67,82.4,257.9,92.6,1,106.03
4327.4,46.9,6.96,24.95,3.82,84.9,155.8,92.8,3,26.42
3366.8,33.8,12.2,38.79,2.91,18.9,433.3,49.2,9,34.3
1048.6,89.9,19.31,30.23,9.76,30.9,530.2,67.1,5,110.75
3147.2,117.4,14.25,54.16,5.46,29.4,398.8,94.0,10,86.03
3587.4,22.8,13.47,42.18,2.87,92.8,245.0,16.0,3,18.82
555.4,94.0,25.75,28.6,9.42,41.6,483.6,17.9,10,416.02
2544.4,112.7,30.0,57.06,11.63,85.3,451.3,51.4,9,218.62
4214.3,27.5,26.7,52.92,12.1,53.0,404.3,34.6,4,90.7
1829.1,31.0,7.1,30.61,3.18,51.1,538.5,51.2,7,22.38
2563.5,89.2,26.26,58.44,8.8,91.3,502.9,20.3,10,172.88
2490.4,84.8,31.92,30.71,12.39,49.7,450.6,75.1,7,189.38
1858.7,26.9,12.16,31.71,3.26,77.0,449.1,83.9,10,51.39
4633.0,103.4,11.21,35.44,3.91,48.2,448.0,97.1,2,7.71
4015.8,72.3,3.53,26.59,1.03,19.2,386.3,81.6,2,3.0
997.6,110.7,23.49,47.48,8.34,14.8,358.8,53.6,1,34.88
4986.7,107.8,11.35,42.29,3.73,28.7,469.3,112.8,4,12.93
4456.4,101.3,27.11,55.78,11.14,75.0,424.7,89.9,8,139.56
1777.6,71.6,31.04,29.64,14.47,43.6,370.5,68.0,10,466.39
4266.0,45.2,13.88,26.81,3.92,50.9,207.0,32.8,6,57.14
978.9,70.6,26.52,34.34,10.09,19.2,465.9,81.4,5,158.22
4996.0,30.1,9.3,25.84,3.97,66.1,440.7,75.1,10,35.35
3495.6,85.9,8.42,57.85,1.25,82.3,304.0,85.2,6,11.25
3425.6,33.4,29.46,48.7,11.62,66.2,310.3,95.9,6,198.5
907.0,71.1,19.07,51.85,7.08,98.6,261.0,110.7,1,35.48
4536.7,25.4,37.44,49.92,14.26,11.5,582.9,114.4,3,43.8
630.5,50.0,23.51,29.71,8.48,11.4,537.1,79.3,7,166.75
1583.7,43.2,10.25,25.63,3.2,55.0,402.5,116.3,7,43.4
1143.6,82.0,18.22,37.18,7.3,34.0,330.7,110.3,5,133.55
3995.5,98.7,16.78,53.16,3.84,71.8,481.6,10.3,8,44.87
1391.9,25.7,30.37,33.22,13.29,81.4,387.5,80.1,7,324.37
4597.9,105.0,28.78,20.38,10.67,19.2,589.1,29.6,1,12.3
3453.2,106.1,15.04,46.4,5.78,92.6,174.8,42.5,9,153.52
662.7,54.2,22.66,28.0,8.39,12.7,165.4,42.7,7,518.19
524.4,85.9,29.56,41.71,10.37,72.0,405.9,63.1,3,156.31
732.5,60.3,28.57,20.6,11.96,44.6,241.5,11.2,3,230.05
3226.7,35.4,8.69,40.35,2.12,70.1,421.9,35.9,10,22.7
4106.7,72.9,5.82,35.74,1.32,18.8,501.6,13.2,3,3.0
1573.5,28.6,6.06,55.22,2.6,94.3,212.1,81.6,1,6.72
4322.3,107.8,20.79,48.87,6.53,94.4,348.3,107.8,1,11.99
757.5,112.4,21.46,21.44,7.53,56.7,459.9,119.8,3,71.66
4104.3,102.2,7.39,51.58,2.91,55.9,525.2,59.3,7,12.34
4675.1,76.3,20.85,51.65,6.76,67.1,373.4,38.6,5,57.02
3974.5,75.8,16.03,46.54,7.18,62.2,242.8,103.8,8,148.73
3641.5,118.5,7.73,57.17,2.53,58.9,413.6,22.4,3,8.37
4270.9,44.8,32.53,52.13,13.83,63.0,354.5,117.2,3,98.75
680.7,27.6,25.85,28.76,9.39,87.3,497.4,88.6,5,149.65
1408.0,76.2,15.37,35.26,6.44,65.0,400.0,65.4,8,119.47
1062.2,52.9,22.9,34.0,8.1,27.6,275.7,20.6,6,234.41
2770.4,52.2,16.2,40.2,5.4,92.3,489.5,12.0,8,71.75
3853.3,20.7,30.68,58.15,12.96,29.4,383.0,69.9,1,28.37
3335.1,79.6,28.3,44.62,9.05,24.9,229.9,55.5,5,165.86
4330.1,46.4,18.0,32.52,7.93,99.7,403.4,102.7,5,59.06
1198.5,38.8,29.4,57.66,13.75,29.2,576.7,80.7,1,27.45
3805.8,24.0,33.85,48.01,12.73,19.0,467.5,57.5,4,90.18
1368.7,56.4,24.02,30.64,12.38,60.6,284.5,34.9,3,159.74
1718.4,107.9,16.04,56.26,4.16,84.4,469.9,62.8,5,36.03
3694.6,53.7,9.54,33.77,3.14,15.5,277.2,27.9,2,11.16
4910.9,87.9,22.24,40.65,10.66,54.1,394.2,83.4,3,45.16
3251.9,95.7,16.54,39.17,7.56,16.2,387.0,76.6,10,131.71
745.3,52.8,21.41,56.95,10.57,48.6,261.3,99.1,2,128.21
3273.4,102.2,29.94,30.63,11.65,41.0,306.5,59.4,9,282.39
690.6,89.2,9.83,33.33,5.13,22.3,574.0,40.7,6,49.72
4478.7,75.9,14.97,46.41,4.99,93.8,262.8,102.0,1,10.5
3693.1,20.1,19.19,55.46,7.87,67.1,510.5,86.0,5,44.85
1279.1,23.5,11.68,24.6,4.83,85.9,450.3,87.7,6,55.2
912.7,119.1,27.31,28.4,10.34,91.5,389.7,68.1,3,132.23
1325.9,98.2,30.22,57.92,11.45,93.7,211.9,106.4,3,208.4
4910.1,113.8,22.94,51.09,7.61,77.3,242.1,35.1,8,158.82
2563.5,110.2,25.71,33.84,11.13,37.6,230.5,54.2,1,46.06
4028.4,22.0,20.65,34.31,8.15,84.6,414.1,97.6,10,127.83
3363.8,99.2,25.35,38.78,10.98,56.8,588.0,24.6,4,59.0
3075.9,65.1,12.03,46.95,4.15,34.4,544.8,98.9,4,13.04
1153.1,99.0,25.76,42.44,11.34,44.7,161.4,48.8,2,160.4
4757.1,20.7,26.05,51.04,11.01,37.1,273.2,23.8,9,262.06
1856.0,48.8,11.63,22.17,4.73,52.0,220.8,18.7,3,42.44
3101.1,95.1,23.08,52.76,8.78,80.3,589.1,102.7,9,90.52
3649.0,99.3,31.85,22.32,12.97,53.6,256.0,95.6,4,169.28
3421.5,82.0,13.85,55.24,4.49,34.1,240.6,41.7,1,11.72
4732.7,50.1,27.68,21.73,11.3,17.9,429.4,22.8,5,92.11
1168.0,51.0,33.28,25.11,14.36,87.0,400.3,37.2,6,352.96
2787.6,116.7,32.77,27.21,13.13,47.6,251.6,33.4,5,254.34
2318.2,63.9,14.48,28.92,6.62,49.8,451.7,90.6,10,100.59
2633.8,64.7,25.56,36.07,9.5,78.7,193.7,33.7,6,251.39
1036.5,75.2,35.38,46.22,14.88,86.5,158.7,33.8,8,1035.61
1103.4,61.0,23.22,55.7,8.96,56.0,187.1,13.5,4,222.44
1751.3,75.3,8.66,40.98,2.61,66.9,314.2,75.7,2,11.04
1871.2,63.2,10.57,41.3,1.64,31.5,588.8,85.8,5,7.53
2425.6,102.7,30.89,32.77,12.06,94.2,396.3,81.9,6,163.72
3249.4,110.9,18.16,52.03,6.93,61.1,489.6,72.5,5,43.37
3355.8,113.2,10.17,24.42,4.46,74.8,294.7,116.3,8,68.24
2353.1,76.4,17.9,32.04,5.87,20.3,473.7,62.0,10,95.91
2339.5,64.2,27.88,23.88,11.6,67.3,584.8,104.6,1,16.01
1479.3,90.5,14.7,28.57,7.51,43.2,311.0,81.1,1,23.15
3147.4,103.8,31.68,43.46,13.16,50.5,599.6,19.3,3,66.15
1926.7,76.3,28.54,25.04,11.29,71.4,437.3,99.1,6,167.44
662.3,90.0,33.21,24.02,14.64,81.7,486.9,74.3,1,54.37
2382.8,95.0,32.56,53.04,13.44,41.4,263.5,81.9,2,118.72
2633.6,87.6,12.28,24.73,4.56,88.6,439.4,29.8,5,34.38
1515.2,94.6,25.35,44.32,10.23,29.7,380.0,58.1,4,133.76
3076.1,40.9,8.67,34.08,1.29,60.7,580.4,106.9,9,7.39
3046.0,69.8,32.28,55.85,14.88,23.6,557.1,33.7,6,142.95
3659.0,78.8,18.81,48.3,4.65,36.0,328.5,10.0,9,91.08
3415.8,20.2,25.61,22.38,10.31,90.6,576.1,38.3,8,104.5
3435.9,105.6,33.38,55.82,12.89,11.0,548.2,63.6,5,84.14
1923.0,81.0,9.85,36.56,3.25,92.4,415.7,100.3,10,48.51
4043.4,32.9,26.42,31.93,12.87,39.6,187.0,80.8,9,425.88
2971.1,101.6,1.52,46.91,1.17,72.6,222.4,111.1,5,5.36
2441.4,91.7,16.96,48.72,7.19,18.3,184.6,60.1,9,225.42
3317.1,95.8,22.48,32.13,7.61,67.7,198.6,53.0,3,91.02
2123.0,59.2,12.19,34.07,6.24,91.9,589.6,35.5,3,19.01
2807.3,105.4,20.61,26.25,9.21,60.0,245.5,34.0,8,224.24
3815.2,61.4,34.25,43.74,13.81,42.6,460.9,91.0,8,175.07
4488.8,77.1,16.25,58.28,5.58,81.4,436.4,18.8,3,22.93
4644.8,20.1,24.28,36.66,9.11,74.1,434.0,36.7,8,110.85
2766.3,84.5,29.6,59.85,13.28,20.6,243.0,107.4,6,316.67
2841.2,91.8,24.4,27.06,11.82,69.9,410.7,73.5,6,142.8
4099.4,76.7,7.23,51.84,1.57,69.8,431.5,15.1,9,13.64
1915.0,69.7,38.96,57.12,14.2,77.7,406.7,87.5,2,88.05
4268.2,101.0,4.77,47.52,1.65,38.5,233.8,65.7,5,9.9
2723.6,88.1,19.82,24.37,9.24,46.1,475.4,104.0,3,38.86
1021.4,47.8,21.54,33.06,9.05,96.4,183.0,85.1,6,351.91
824.3,115.9,30.8,23.43,12.01,61.6,416.0,10.5,2,110.11
4289.0,90.7,8.38,44.07,3.08,55.8,346.3,32.6,2,7.77
750.1,118.8,14.3,59.93,3.51,98.8,262.6,38.4,7,128.62
1762.8,117.1,31.29,34.99,11.53,30.7,513.3,87.2,1,21.96
2003.6,111.9,9.67,26.52,3.09,45.8,229.2,66.0,5,44.78
1278.5,95.5,13.55,30.75,7.57,78.4,569.8,92.2,10,97.05
1912.5,80.9,25.78,42.83,11.24,74.2,548.1,66.4,10,213.02
3842.1,37.2,23.63,42.76,10.12,97.0,312.3,46.0,2,51.58
566.1,74.3,8.84,29.19,3.95,68.9,287.3,21.4,10,171.35
4222.3,96.5,14.66,50.03,5.26,38.2,211.9,32.3,4,52.73
4354.5,72.1,36.14,23.52,14.57,45.8,562.3,54.1,2,37.88
2175.2,106.8,13.72,44.92,7.28,18.1,432.4,70.7,6,69.9
1191.3,31.0,8.15,37.03,1.62,93.1,164.3,113.3,5,33.47
3203.8,58.1,11.42,25.09,4.07,21.6,379.9,36.4,4,23.08
1038.5,70.6,16.4,45.38,5.79,59.1,188.6,83.3,5,175.86
2142.1,63.2,38.72,46.92,14.99,46.1,408.2,26.8,1,50.07
4812.9,30.9,11.75,37.6,5.24,22.1,379.0,88.5,3,18.65
4979.6,35.4,8.93,51.92,1.37,36.4,187.3,11.2,2,4.54
3974.5,103.8,20.39,40.37,8.18,67.0,517.1,82.2,10,83.7
1899.3,68.4,11.53,31.43,2.17,12.8,268.0,28.0,5,29.27
3594.5,24.9,10.44,58.14,4.84,96.9,393.7,29.8,6,39.65
3674.3,21.6,40.57,57.76,14.89,91.8,437.6,71.5,5,168.19
2245.3,67.3,24.28,23.82,10.86,17.6,583.0,51.3,9,144.61
3384.0,36.4,13.58,57.84,1.71,88.2,372.2,61.8,8,22.2
548.3,90.5,15.89,51.02,7.28,39.6,562.8,44.0,7,126.03
1440.8,99.5,13.0,24.27,3.4,16.1,309.7,114.9,4,42.71
2862.9,42.8,7.17,40.77,2.72,37.6,535.8,42.0,4,8.07
1236.9,79.2,25.35,21.4,9.22,82.8,256.1,69.6,10,477.38
1246.6,35.4,20.46,43.55,8.08,69.9,468.4,104.0,10,202.08
4263.4,50.4,24.95,57.33,11.4,31.5,189.9,83.1,3,115.49
4951.1,108.9,24.64,34.73,13.49,74.7,593.7,45.5,4,50.19
3001.9,74.4,19.77,40.35,4.45,73.7,579.3,70.8,4,19.1
4275.8,108.6,34.24,29.1,13.92,76.9,349.0,19.1,8,270.91
4956.4,42.5,12.15,41.64,8.25,58.7,385.8,70.0,10,103.58
1137.2,53.0,13.54,52.1,4.62,83.7,419.0,57.5,9,105.74
2517.1,67.1,33.6,28.61,12.84,67.7,273.8,93.4,9,479.56
2266.6,68.0,3.3,42.14,1.5,21.3,453.5,103.3,4,4.63
860.2,119.8,20.19,34.19,8.83,82.9,464.4,32.0,4,101.32
3899.0,31.4,27.48,49.91,11.1,39.1,386.3,19.0,9,205.02
2452.0,105.2,16.92,48.08,4.92,73.5,216.5,53.0,4,76.39
2612.0,106.4,32.4,47.95,13.09,70.8,563.6,68.8,3,64.79
1178.0,75.3,16.43,35.11,4.36,40.2,201.8,51.4,9,189.77
1314.2,54.4,34.74,43.97,12.76,24.6,433.1,79.1,5,211.73
4582.0,71.9,6.14,46.04,2.1,72.5,196.4,65.6,1,3.49
700.9,49.2,4.74,47.23,3.24,86.4,215.7,113.0,9,105.23
1547.8,99.9,15.89,43.01,6.33,85.4,159.2,55.0,3,103.6
1814.3,69.8,33.38,54.67,12.96,66.4,313.5,19.1,4,228.02
2705.9,112.6,9.14,29.95,3.02,30.5,437.8,43.2,6,21.87
3139.0,82.3,34.39,22.23,13.26,38.5,384.7,76.6,3,105.65
2719.8,71.4,14.29,58.5,4.22,77.9,453.5,38.2,9,56.62
878.5,91.1,20.46,22.43,7.34,47.0,453.8,39.6,7,155.6
1596.5,70.4,14.83,56.12,5.94,75.9,213.1,47.4,6,131.64
4296.1,110.5,9.66,44.49,2.65,37.9,175.8,92.1,3,19.5
3369.1,38.4,41.41,56.75,14.22,10.6,431.4,113.4,5,165.53
3421.2,117.3,13.94,42.6,7.13,64.3,444.0,48.5,3,28.11
3515.9,101.2,27.99,52.84,10.66,64.1,400.5,31.5,10,211.65
3933.1,106.1,28.32,48.85,9.05,66.5,260.6,56.3,8,244.01
761.5,68.3,16.93,41.0,8.02,34.1,514.8,48.7,2,39.38
2149.7,103.7,27.16,34.53,9.63,83.0,184.1,118.9,6,294.36
2927.9,50.7,36.63,20.11,13.58,53.9,434.5,61.0,8,233.25
2023.1,96.2,22.39,30.04,10.79,78.6,204.2,84.7,6,312.95
4300.2,34.0,23.58,58.07,8.45,65.0,444.5,110.5,2,25.27
2671.6,50.7,24.26,31.02,10.03,47.4,338.0,79.2,2,52.52
3958.8,64.6,23.64,50.07,9.49,71.2,473.1,37.4,8,113.47
4334.1,52.2,17.27,40.34,7.06,61.7,173.5,76.8,6,136.0
2771.6,58.7,28.36,32.34,9.75,56.0,399.8,54.2,6,137.22
4593.0,102.0,18.25,59.64,7.21,68.4,215.2,56.5,3,55.3
3142.1,45.7,27.31,21.88,11.61,17.7,457.1,117.7,3,63.43
4326.2,94.5,34.16,43.28,14.56,91.9,204.0,40.6,5,287.8
2032.7,27.4,34.18,38.46,14.44,40.2,183.1,61.6,6,543.53
2744.7,96.6,27.49,23.06,12.49,30.2,470.9,27.6,5,117.04
2891.3,99.2,22.26,28.56,9.42,79.5,178.6,29.6,9,313.06
972.4,60.2,28.78,47.77,11.49,30.8,251.0,76.4,2,149.78
2293.5,92.2,11.25,24.33,3.49,99.6,521.1,92.6,5,19.34
4628.0,111.5,23.34,52.04,7.71,47.8,514.4,80.0,3,26.94
3338.7,100.1,13.31,45.0,4.6,36.7,534.4,46.2,1,4.65
1298.8,59.0,2.99,24.03,1.05,15.6,296.7,16.6,5,7.61
2024.9,68.4,32.4,31.47,14.53,13.8,387.6,61.7,1,42.14
1362.2,97.9,33.0,25.49,13.09,18.6,498.0,65.5,4,136.02
611.7,49.3,20.49,51.9,8.19,10.5,211.6,94.8,7,455.95
4673.6,100.4,12.23,41.32,4.56,39.4,476.0,80.4,4,17.43
2516.9,52.8,27.4,20.11,10.7,37.9,193.9,105.8,7,353.55
1883.9,100.6,19.86,41.72,7.09,48.7,561.0,96.1,3,28.22
3193.1,28.7,30.98,39.31,12.25,31.0,436.8,50.2,5,136.94
532.9,24.4,35.97,45.72,14.99,15.6,372.0,79.5,9,947.12
1751.1,119.8,13.14,21.39,5.89,16.4,368.1,92.2,3,37.11
3663.7,106.9,10.33,21.42,4.42,26.4,231.6,115.3,6,61.57
3352.0,108.3,15.45,33.97,4.74,38.5,305.7,56.5,8,75.85
4918.1,115.1,6.03,47.54,2.31,23.3,477.2,81.3,4,5.57
3291.6,63.8,12.95,46.66,6.52,42.9,393.4,53.2,4,37.83
2648.8,48.7,8.34,31.13,1.24,93.0,388.2,91.2,7,11.54
3926.4,33.0,5.16,28.64,2.6,33.5,237.9,110.3,1,3.87
4565.0,70.1,13.15,47.33,4.8,25.2,460.7,111.1,3,14.34
3743.1,42.0,10.92,21.08,3.24,69.8,326.4,27.3,5,26.01
4834.5,113.6,27.89,42.27,11.25,54.2,232.2,32.5,3,96.55
4019.0,20.4,1.0,36.96,2.48,14.3,574.7,93.0,6,3.02
4400.6,34.3,33.36,29.56,13.12,80.9,378.1,79.4,7,197.24
1013.5,44.6,15.4,40.81,4.1,74.4,387.6,109.6,10,111.4
3795.9,39.9,10.16,28.69,2.52,98.0,591.6,44.5,7,12.46
2480.4,42.6,1.0,42.57,1.14,94.4,314.9,103.3,6,4.21
2989.0,85.6,33.71,25.96,11.01,62.6,574.4,85.2,8,114.96
3443.5,52.8,8.59,36.23,4.59,71.7,462.7,31.5,3,13.29
4864.2,81.5,17.47,40.42,8.13,46.9,434.9,23.9,5,51.64
4930.6,109.0,10.24,21.27,2.56,90.0,255.5,87.3,9,38.72
1797.0,80.3,37.39,44.43,14.79,59.8,173.3,27.4,2,211.18
3801.9,89.5,8.58,50.01,2.76,39.3,347.0,97.4,3,11.83
3874.9,56.6,15.86,58.24,6.77,10.9,154.6,71.3,3,58.63
2059.2,36.0,35.72,28.13,12.92,62.8,182.0,62.5,10,824.16
1057.4,52.1,12.07,28.35,4.43,57.3,417.9,40.3,4,43.69
684.3,116.4,8.2,32.19,4.74,83.1,476.0,118.2,4,35.84
3998.0,82.2,34.03,55.63,12.32,26.8,225.6,89.4,9,442.7
2703.6,47.8,13.76,36.27,4.83,83.4,479.6,95.6,10,64.71
4934.9,65.1,7.74,32.07,1.04,11.4,577.4,94.6,1,3.0
2592.4,103.6,19.8,49.65,6.99,62.9,484.4,74.2,9,95.72
4900.6,86.8,11.88,21.52,1.18,45.7,503.1,113.4,8,8.1
2352.1,76.1,32.67,41.95,13.74,39.8,465.3,74.2,9,251.64
4071.6,108.5,25.01,38.01,9.99,49.0,251.1,67.2,1,29.24
881.7,87.2,25.23,44.99,9.16,30.1,312.4,40.1,1,45.91
2999.6,84.3,9.88,49.24,3.82,26.5,577.2,41.0,4,13.0
4109.3,39.0,29.25,33.0,10.8,82.5,447.5,91.1,9,168.36
4661.2,30.6,17.27,45.46,10.48,30.5,505.1,46.8,5,54.27
4201.6,116.5,6.03,40.97,1.85,76.3,585.9,90.2,8,6.84
666.4,79.9,32.35,25.36,13.33,74.0,254.1,114.8,3,303.25
2177.2,61.6,22.54,55.27,9.11,13.0,294.8,58.3,4,128.49
719.1,78.9,27.19,50.18,12.09,89.3,440.2,20.7,9,447.52
991.8,26.2,15.48,56.87,4.68,81.0,161.0,83.3,5,149.64
3538.9,102.2,6.72,48.82,2.71,81.6,407.0,11.0,8,23.56
3709.7,41.7,27.52,29.79,10.83,82.8,513.9,96.6,7,101.91
3981.7,100.5,29.75,37.22,12.11,62.4,424.7,67.8,2,46.44
4394.6,73.4,18.23,35.47,6.4,99.4,282.9,63.9,10,143.29
3827.4,47.7,9.36,21.43,1.33,26.1,475.8,72.6,10,11.84
4103.9,23.0,31.23,36.42,12.46,16.5,215.7,66.8,8,373.64
720.3,101.6,13.46,33.82,3.89,73.4,552.6,45.6,5,37.05
1555.4,37.6,15.65,20.16,5.75,36.5,195.4,41.0,5,125.61
3298.5,25.2,23.01,53.88,9.8,64.7,538.6,55.7,3,38.74
4361.6,95.6,7.09,25.75,2.4,45.3,374.0,108.4,7,16.08
520.3,55.0,5.77,40.04,2.01,40.0,342.9,24.9,4,22.45
2815.8,58.9,6.83,51.39,1.36,90.4,375.3,45.7,2,3.2
3547.8,44.7,34.14,44.18,13.83,22.8,240.1,31.2,1,51.17
633.2,105.9,11.94,26.77,5.36,27.0,356.0,57.0,5,104.3
2306.1,49.7,24.91,44.73,10.25,70.1,532.4,24.7,9,168.0
4530.4,41.0,31.58,50.3,14.85,80.4,510.4,93.7,8,138.36
3522.3,50.9,25.3,54.19,10.37,84.9,223.4,21.4,9,313.4
1569.5,40.3,21.21,32.75,8.35,30.8,453.0,83.2,7,126.81
4337.5,51.8,26.5,21.36,8.29,89.4,535.6,39.4,9,94.72
2066.1,28.3,20.48,44.32,6.28,64.9,518.9,61.9,8,77.98
4340.1,35.9,20.51,29.03,9.4,84.1,341.5,32.0,9,153.96
1845.2,61.7,35.78,51.24,14.42,16.2,171.6,90.3,6,598.3
3156.4,107.9,30.33,47.2,12.03,42.1,569.0,114.3,1,14.65
2286.2,25.7,17.27,50.93,6.94,57.2,328.1,34.4,4,70.56
1736.7,41.3,14.5,58.7,5.65,61.9,312.4,114.8,9,136.68
4489.5,110.8,31.69,43.38,13.37,18.9,491.8,45.8,8,149.14
1344.2,109.0,14.29,56.17,2.9,58.5,268.8,71.4,1,11.0
881.7,87.9,30.41,45.68,12.89,69.9,525.6,87.2,1,37.76
2038.7,44.0,13.54,27.27,4.57,42.5,184.2,31.9,7,119.58
3729.4,62.0,19.76,51.97,11.02,55.1,483.3,58.9,10,136.87
4133.4,41.1,32.73,47.75,12.29,36.3,584.6,17.5,8,135.64
4994.3,32.9,23.21,59.12,7.68,88.3,598.1,86.7,10,59.49
1833.6,58.0,7.34,29.74,3.69,63.9,565.7,55.8,1,3.37
2335.7,77.6,29.97,33.33,12.83,59.6,541.8,108.1,9,175.21
1115.7,56.0,17.49,52.86,6.15,95.0,275.5,40.1,2,54.61
3086.9,81.1,14.68,22.52,5.49,69.8,585.0,111.6,9,42.35
4989.1,49.6,22.12,45.33,8.14,35.2,567.6,25.5,10,90.27
3654.0,54.6,17.45,41.42,7.09,67.8,390.5,76.8,6,72.99
3178.5,99.1,31.88,26.75,10.56,96.5,330.9,43.9,6,186.77
2265.7,107.8,6.71,26.6,2.92,12.1,199.2,30.0,5,31.16
4618.8,52.2,26.4,52.41,7.1,66.4,415.8,20.3,6,75.86
2736.1,77.2,36.74,20.62,13.48,24.1,465.2,82.1,9,259.22
1104.7,47.8,7.96,49.87,1.5,83.5,331.8,35.6,3,10.72
2144.2,25.3,15.9,49.31,7.4,67.7,332.7,73.0,3,58.45
802.3,93.8,28.3,45.99,10.25,94.3,408.0,117.7,10,421.91
1408.9,37.1,34.7,36.38,13.43,70.3,162.5,44.8,9,908.87
579.5,62.6,17.06,21.13,9.31,11.5,581.0,13.8,6,169.58
2539.8,68.7,26.63,52.07,12.54,55.9,280.5,25.7,3,124.06
3355.4,38.4,12.54,25.03,4.12,91.3,213.4,23.1,10,97.11
2044.8,29.5,15.26,31.23,5.94,30.9,152.5,61.0,9,227.21
2391.7,54.8,33.09,57.87,14.19,17.5,535.6,91.9,4,92.2
4816.4,115.2,36.07,32.07,13.4,74.8,538.4,42.6,6,104.15
3883.8,81.5,19.61,30.21,8.81,55.2,192.9,26.0,5,137.64
2933.9,58.1,18.25,58.93,7.66,14.3,218.5,80.5,9,217.85
1780.4,23.9,16.88,23.44,7.31,35.2,351.6,43.1,7,121.54
4536.5,80.0,7.72,26.43,1.82,39.4,233.6,73.3,5,15.27
1557.9,29.2,27.88,37.53,13.49,70.1,481.1,112.7,10,300.24
1964.0,74.3,29.15,51.51,12.45,52.4,176.1,42.0,7,497.05
4590.8,95.2,13.82,55.37,7.39,53.8,397.4,66.4,5,49.82
2882.9,62.4,12.36,50.23,4.91,82.6,322.3,98.7,10,95.87
3840.4,49.9,17.51,59.05,5.8,35.1,359.2,86.1,5,55.12
3158.4,24.7,10.49,20.67,2.72,70.5,341.1,92.7,5,21.77
3440.5,22.5,25.36,44.78,11.11,43.1,218.9,95.0,4,169.78
1847.2,63.0,23.82,24.65,8.79,47.7,249.1,69.4,3,110.34
1586.2,108.3,11.28,56.41,4.28,60.0,179.2,69.0,3,52.21
1951.2,44.4,28.44,57.41,9.72,72.6,201.9,89.1,1,50.22
1199.5,77.4,35.44,32.12,14.71,95.1,590.1,86.7,8,234.4
4434.4,88.4,1.0,53.11,2.71,34.2,275.9,83.7,6,8.4
1774.6,26.1,21.75,45.21,7.42,19.3,288.2,52.0,10,252.62
3026.7,35.3,18.83,24.02,7.92,48.6,207.2,101.1,7,194.83
4063.9,53.1,8.85,44.11,3.34,59.2,489.8,36.0,1,3.0
4027.2,87.0,22.42,59.04,8.44,30.5,565.9,27.1,7,69.51
2472.7,63.9,19.54,32.32,9.48,90.1,505.4,48.0,2,26.49
2643.2,93.4,9.59,20.05,3.2,81.9,425.7,37.9,1,4.31
4976.2,106.8,10.89,59.07,3.17,54.4,516.0,83.0,7,17.41
